CustomerID,Gender,SeniorCitizen,Tenure,MonthlyCharges,Contract,PaymentMethod,TotalCharges,Churn
CUST00000,Male,0,48,106.17,Two year,Credit card,5104.81,Yes
CUST00001,Female,0,66,79.03,One year,Bank transfer,5218.59,No
CUST00002,Male,0,70,42.63,One year,Mailed check,3010.03,No
CUST00003,Male,1,28,58.42,One year,Credit card,1657.03,No
CUST00004,Male,0,26,65.01,Month-to-month,Bank transfer,1659.58,Yes
CUST00005,Female,0,25,77.93,Month-to-month,Credit card,1945.38,No
CUST00006,Male,1,12,95.94,Month-to-month,Bank transfer,1148.53,No
CUST00007,Male,1,5,29.89,Month-to-month,Electronic check,137.27,Yes
CUST00008,Male,1,48,108.97,Month-to-month,Bank transfer,5232.29,Yes
CUST00009,Female,0,37,21.23,Two year,Electronic check,776.82,No
CUST00010,Male,0,44,57.01,One year,Credit card,2478.37,No
CUST00011,Male,0,15,22.74,One year,Bank transfer,332.34,No
CUST00012,Male,1,43,59.3,Two year,Credit card,2507.13,No
CUST00013,Male,1,48,72.58,One year,Electronic check,3491.42,No
CUST00014,Female,0,70,71.17,Month-to-month,Bank transfer,5017.27,No
CUST00015,Male,0,46,36.56,Month-to-month,Credit card,1704.29,No
CUST00016,Female,0,43,84.57,Month-to-month,Electronic check,3622.55,Yes
CUST00017,Female,1,21,24.48,One year,Credit card,472.79,No
CUST00018,Female,1,23,96.19,Month-to-month,Mailed check,2182.58,Yes
CUST00019,Male,0,47,114.66,One year,Electronic check,5393.57,Yes
CUST00020,Female,0,15,53.98,Month-to-month,Electronic check,780.41,No
CUST00021,Male,0,25,71.72,One year,Electronic check,1797.4,No
CUST00022,Female,1,36,57.89,One year,Bank transfer,2057.2,No
CUST00023,Female,1,51,20.67,One year,Bank transfer,1089.06,No
CUST00024,Female,1,15,58.59,Two year,Bank transfer,868.58,No
CUST00025,Female,0,68,99.17,One year,Mailed check,6718.12,No
CUST00026,Female,0,21,79.6,Two year,Mailed check,1702.83,No
CUST00027,Female,0,13,30.13,Two year,Electronic check,375.97,No
CUST00028,Female,0,19,104.71,One year,Mailed check,1950.64,No
CUST00029,Female,1,34,73.11,One year,Credit card,2492.78,No
CUST00030,Male,1,68,104.17,Month-to-month,Electronic check,7091.72,Yes
CUST00031,Male,1,52,78.02,Month-to-month,Electronic check,4078.51,Yes
CUST00032,Female,1,27,75.97,Month-to-month,Credit card,2025.21,Yes
CUST00033,Female,0,29,30.53,Month-to-month,Electronic check,879.75,No
CUST00034,Female,0,28,36.74,Month-to-month,Mailed check,1006.96,No
CUST00035,Male,1,35,117.2,Two year,Bank transfer,4060.1,No
CUST00036,Female,1,8,42.85,Two year,Credit card,380.46,No
CUST00037,Male,0,16,117.75,One year,Mailed check,1906.89,Yes
CUST00038,Male,0,36,73.19,Month-to-month,Credit card,2614.99,Yes
CUST00039,Male,0,30,33.58,Month-to-month,Credit card,1017.34,Yes
CUST00040,Male,1,18,29.93,Month-to-month,Electronic check,508.87,No
CUST00041,Male,0,2,40.89,Month-to-month,Electronic check,120.8,Yes
CUST00042,Female,0,49,112.56,Month-to-month,Mailed check,5476.93,Yes
CUST00043,Female,0,4,61.42,Month-to-month,Credit card,196.06,No
CUST00044,Female,0,7,59.54,Two year,Electronic check,416.98,No
CUST00045,Female,0,39,51.32,One year,Electronic check,2009.79,No
CUST00046,Female,0,13,34.71,Month-to-month,Credit card,459.13,No
CUST00047,Male,0,31,68.79,Month-to-month,Mailed check,2087.94,No
CUST00048,Female,0,71,33.0,Month-to-month,Mailed check,2324.4,Yes
CUST00049,Female,0,63,103.55,Month-to-month,Credit card,6523.57,Yes
CUST00050,Male,0,56,57.04,Two year,Mailed check,3165.9,No
CUST00051,Female,1,42,57.48,Month-to-month,Electronic check,2451.42,Yes
CUST00052,Male,0,61,67.4,Month-to-month,Credit card,4070.11,No
CUST00053,Female,0,42,64.41,Month-to-month,Electronic check,2703.96,Yes
CUST00054,Male,1,56,119.49,Month-to-month,Bank transfer,6710.58,Yes
CUST00055,Female,0,36,74.54,One year,Bank transfer,2659.62,No
CUST00056,Female,0,68,28.82,One year,Mailed check,1972.18,No
CUST00057,Male,0,7,80.69,One year,Bank transfer,597.77,Yes
CUST00058,Male,0,54,35.16,Month-to-month,Electronic check,1867.67,No
CUST00059,Male,0,1,23.09,Month-to-month,Bank transfer,64.81,No
CUST00060,Male,0,44,117.07,Month-to-month,Electronic check,5156.44,No
CUST00061,Male,0,45,97.35,Two year,Mailed check,4360.67,No
CUST00062,Male,0,47,118.01,Month-to-month,Mailed check,5539.56,Yes
CUST00063,Male,0,13,67.79,Month-to-month,Electronic check,862.49,Yes
CUST00064,Male,0,22,73.23,One year,Bank transfer,1633.57,No
CUST00065,Female,0,21,36.83,One year,Mailed check,803.06,No
CUST00066,Female,0,9,44.69,Month-to-month,Credit card,435.5,Yes
CUST00067,Male,0,26,103.85,Month-to-month,Mailed check,2748.68,Yes
CUST00068,Female,1,9,55.62,Month-to-month,Bank transfer,529.71,No
CUST00069,Female,0,15,102.68,Two year,Credit card,1550.34,Yes
CUST00070,Female,0,10,90.9,Month-to-month,Bank transfer,892.92,Yes
CUST00071,Female,0,42,37.72,Two year,Electronic check,1588.7,No
CUST00072,Male,0,24,70.74,Month-to-month,Credit card,1651.87,No
CUST00073,Female,0,49,87.74,Two year,Bank transfer,4323.74,No
CUST00074,Male,1,26,43.5,One year,Credit card,1125.6,No
CUST00075,Female,1,37,103.07,Month-to-month,Bank transfer,3765.59,Yes
CUST00076,Female,0,68,74.48,Two year,Credit card,5020.89,No
CUST00077,Female,1,50,36.52,Month-to-month,Bank transfer,1814.75,Yes
CUST00078,Male,0,24,78.3,Two year,Electronic check,1887.54,No
CUST00079,Female,0,19,119.97,One year,Credit card,2275.85,No
CUST00080,Male,0,60,35.05,Month-to-month,Credit card,2114.92,No
CUST00081,Female,1,39,101.68,One year,Credit card,3963.55,No
CUST00082,Male,0,18,40.73,Two year,Credit card,749.31,No
CUST00083,Female,0,19,98.24,Month-to-month,Electronic check,1838.47,Yes
CUST00084,Male,0,36,93.46,Month-to-month,Credit card,3325.84,No
CUST00085,Male,0,55,50.05,One year,Mailed check,2762.39,No
CUST00086,Female,0,69,52.58,One year,Electronic check,3626.49,No
CUST00087,Male,0,47,99.25,Month-to-month,Mailed check,4617.44,Yes
CUST00088,Female,0,49,66.14,Month-to-month,Credit card,3228.91,Yes
CUST00089,Female,0,33,93.08,Month-to-month,Bank transfer,3032.25,Yes
CUST00090,Female,0,21,34.8,Month-to-month,Mailed check,733.94,No
CUST00091,Female,0,22,105.26,Month-to-month,Credit card,2305.3,Yes
CUST00092,Female,0,48,91.09,Two year,Mailed check,4383.64,Yes
CUST00093,Female,0,37,110.69,Month-to-month,Credit card,4126.09,No
CUST00094,Female,1,15,33.24,One year,Credit card,478.57,No
CUST00095,Female,0,35,79.3,Month-to-month,Credit card,2821.71,No
CUST00096,Female,0,71,79.91,Month-to-month,Bank transfer,5677.17,No
CUST00097,Female,0,32,55.35,Month-to-month,Mailed check,1783.03,Yes
